Block,Hash,Date,Previous Hash,Signature,Coin,Difficulty,Daddy,Time
45,0,17-04-2023 16:29:37,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,62
46,0,17-04-2023 16:30:21,0.0,,,,False,44
47,0,17-04-2023 16:30:40,0.0,,,,False,19
48,0,17-04-2023 16:31:07,0.0,,,,False,27
47,0,17-04-2023 16:31:11,0.0,15ff9d699f56c53a9d31935630c449c529de13d6eca747ec819a752258e0b4b24e48e0edc5a2d6b22b77fa25e79dea5d559b8df4fbee722446898318c8479c05,,,False,4
47,0,17-04-2023 16:31:20,0.0,,,,False,9
47,0,17-04-2023 16:31:23,0.0,,,,False,3
49,0,17-04-2023 16:31:38,0.0,,,,False,15
49,0,17-04-2023 16:31:45,0.0,,,,False,7
50,0,17-04-2023 16:32:18,0.0,,,,False,33
51,0,17-04-2023 16:32:28,0.0,,,,False,10
52,0,17-04-2023 16:33:00,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,32
53,0,17-04-2023 16:33:39,0.0,,,,False,39
54,0,17-04-2023 16:33:50,0.0,,,,False,11
55,0,17-04-2023 16:34:08,0.0,,,,False,18
55,0,17-04-2023 16:34:29,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,21
55,0,17-04-2023 16:34:41,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,12
56,0,17-04-2023 16:35:19,0.0,,,,False,38
53,0,17-04-2023 16:36:23,0.0,,,,False,64
57,0,17-04-2023 16:36:31,0.0,,,,False,8
1,0,17-04-2023 16:36:56,101.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,25
58,0,17-04-2023 16:43:23,0.0,,,,False,387
58,0,17-04-2023 16:43:29,0.0,,,,False,6
59,0,17-04-2023 16:44:22,0.0,,,,False,53
59,0,17-04-2023 16:44:27,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,5
60,0,17-04-2023 16:44:47,0.0,,,,False,20
53,1,17-04-2023 16:44:53,0.0,,,,False,6
1,1,17-04-2023 16:44:53,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,0
53,1,17-04-2023 16:44:56,0.0,,,,False,3
1,0,17-04-2023 16:45:14,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,18
60,0,17-04-2023 16:45:24,0.0,,,,False,10
1,0,17-04-2023 16:45:33,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,9
60,0,17-04-2023 16:45:40,0.0,73d92dadba48205d17059ac1e53a60f48e78b37f427b69cd6e746260440bb6904ab7d8483efde3368b3fe819e1c21489733f3ff4ace4de8ae517a1182402cb01,1001.0,,False,7
61,1,17-04-2023 16:46:00,0.0,,,,False,20
1,1,17-04-2023 16:46:00,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,0
61,0,17-04-2023 16:46:05,0.0,,,,False,5
62,0,17-04-2023 16:46:15,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,10
1,0,17-04-2023 16:46:15,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,0
61,0,17-04-2023 16:46:23,0.0,,,,False,8
1,0,17-04-2023 16:47:01,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,38
62,0,17-04-2023 16:48:45,0.0,,,,False,104
1,0,17-04-2023 16:50:37,101.0,,,,False,112
63,0,17-04-2023 16:50:48,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,11
57,0,17-04-2023 16:50:49,0.0,,,,False,1
63,0,17-04-2023 16:50:58,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,9
57,0,17-04-2023 16:51:03,0.0,,,,False,5
57,0,17-04-2023 16:51:04,0.0,,,,False,1
57,0,17-04-2023 16:51:08,0.0,,,,False,4
1,0,17-04-2023 16:51:09,101.0,,,,False,1
1,0,17-04-2023 16:51:09,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,0
57,0,17-04-2023 16:51:10,0.0,,,,False,1
1,0,17-04-2023 16:51:11,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,1
57,0,17-04-2023 16:51:16,0.0,,,,False,5
1,0,17-04-2023 16:51:22,101.0,,,,False,6
1,0,17-04-2023 16:52:55,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,93
1,0,17-04-2023 16:53:01,101.0,,,,False,6
1,0,17-04-2023 16:53:10,101.0,,,,False,9
1,0,17-04-2023 16:55:56,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,166
1,0,17-04-2023 16:58:12,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,136
1,0,17-04-2023 16:59:57,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,105
1,0,17-04-2023 17:00:53,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,56
1,0,17-04-2023 17:02:59,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,126
64,0,17-04-2023 17:04:52,0.0,,,,False,113
64,0,17-04-2023 17:04:53,0.0,,,,False,1
64,0,17-04-2023 17:05:06,0.0,,,,False,13
64,0,17-04-2023 17:05:43,0.0,,,,False,37
64,1,17-04-2023 17:05:48,0.0,,,,False,5
64,0,17-04-2023 17:05:54,0.0,,,,False,6
64,0,17-04-2023 17:06:56,0.0,,,,False,62
1,0,17-04-2023 17:07:40,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,44
1,1,17-04-2023 17:08:46,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,66
1,0,17-04-2023 17:09:00,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,14
1,0,17-04-2023 17:09:04,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,4
1,1,17-04-2023 17:10:31,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,87
1,0,17-04-2023 17:11:24,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,53
1,1,17-04-2023 17:11:49,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,25
1,0,17-04-2023 17:11:51,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,2
1,0,17-04-2023 17:13:59,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,128
1,0,17-04-2023 17:17:10,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,191
65,0,17-04-2023 17:17:48,0.0,,,,False,38
65,0,17-04-2023 17:17:58,0.0,,,,False,10
1,0,17-04-2023 17:19:00,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,62
65,0,17-04-2023 17:19:25,0.0,,,,False,25
1,0,17-04-2023 17:20:34,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,69
1,0,17-04-2023 17:20:39,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,5
1,0,17-04-2023 17:21:12,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,33
1,1,17-04-2023 17:22:11,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,59
1,1,17-04-2023 17:23:41,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,90
1,0,17-04-2023 17:23:42,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,1
1,0,17-04-2023 17:25:18,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,96
1,0,17-04-2023 17:25:53,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,35
1,1,17-04-2023 17:26:41,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,48
1,1,17-04-2023 17:28:46,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,125
